name,name_eng,address,telephone,lat,lon
 桃園分局, Taoyuan Precinct, 桃園市桃園區力行路258號, 03 3323811,121.2991068,25.0000839
 大樹派出所, Dashu Police Station, 桃園市桃園區樹仁二街41號, 03 3622987,121.3202184,24.9780622
 埔子派出所, Puzi Police Station, 桃園市桃園區力行路258號, 03 3353974,121.299054,25.0001591
 青溪派出所, Qingxi Police Station, 桃園市桃園區鎮撫街39號, 03 3332742,121.3141825,24.9980527
 中路派出所, Zhonglu Police Station, 桃園市桃園區中山路706號, 03 3922037,121.293853,24.99151
 景福派出所, Jingfu Police Station, 桃園市桃園區民族路110號, 03 3322762,121.3090392,24.9926128
 武陵派出所, Wuling Police Station, 桃園市桃園區復興路135號, 03 3363964,121.3121146,24.9900362
 同安派出所, Tong-an Police Station, 桃園市桃園區經國路799號, 03 3568289,121.300713,25.02792
 龍安派出所, Long-an Police Station, 桃園市桃園區國豐一街101號, 03 3601975,121.2811322,24.9909892
 大園分局, Dayuan Precinct, 桃園市大園區中正西路13號, 03 3866555,121.195741,25.0634017
 潮音派出所, Chaoyin Police Station, 桃園市大園區潮音北路473號, 03 3867677,121.1715365,25.08118
 觀音分駐所, Guanyin Police Station, 桃園市觀音區中山路14號, 03 4732025,121.0821112,25.0365542
 草漯派出所, Caota Police Station, 桃園市觀音區草新里1鄰大觀路2段77號, 03 4831224,121.1429548,25.0471997
 新坡派出所, Xinpo Police Station, 桃園市觀音區中山路2段668號, 03 4981001,121.1362044,25.0126598
 竹圍派出所, Zhuwei Police Station, 桃園市大園區竹圍街10號, 03 3835089,121.2438005,25.104005
 埔心派出所, Puxin Police Station, 桃園市大園區埔心里埔心街1號, 03 3811684,121.2244021,25.0542409
 大園派出所, Dayuan Police Station, 桃園市大園區中正西路13號, 03 3862804,121.195741,25.0634017
 三果派出所, Sanguo Police Station, 桃園市大園區三和路25號, 03 3936119,121.257167,25.0732019
 蘆竹分局, Luzhu Precinct, 桃園市蘆竹區南崁路177號, 03 2220307,121.2937787,25.04729816
 南崁派出所, Nankan Police Station, 桃園市蘆竹區南崁路177號, 03-3223981,121.2937787,25.04729816
 大竹派出所, Dazhu Police Station, 桃園市蘆竹區大竹路540號, 03 3232704,121.2594456,25.0241944
 南竹派出所, Nanzhu Police Station, 桃園市蘆竹區南竹路2段97號, 03 3121090,121.2848687,25.0413486
 外社派出所, Waishe Police Station, 桃園市蘆竹區山林路2段405號, 03 3241749,121.3041719,25.0834926
 大溪分局, Daxi Precinct, 桃園市大溪區復興路一段385號, 03 3883851,121.2951797,24.8611606
 復興分駐所, Fuxing Police Station, 桃園市復興區中正路2號, 03 3822604,121.350961,24.814182
 羅浮派出所, Luofu Police Station, 桃園市復興區羅浮里3鄰3號, 03 3822606,121.3648552,24.7975344
 榮華派出所, Ronghua Police Station, 桃園市復興區高義里11鄰卡義蘭2號, 03 3821016,121.347674,24.7391911
 巴陵派出所, Baling Police Station, 桃園市復興區華陵里9鄰44號, 03 3912180,121.3985715,24.6859473
 奎輝派出所, Kuihui Police Station, 桃園市復興區奎輝里4鄰中奎輝37號, 03 3822960,121.3353273,24.7961044
 三光派出所, Sanguang Police Station, 桃園市復興區三光里7鄰武道能敢32號, 03 3912258,121.3671854,24.6720607
 光華派出所, Guanghua Police Station, 桃園市復興區華陵里4鄰12號, 03 3912253,121.3995747,24.6553641
 霞雲派出所, Xiayun Police Station, 桃園市復興區霞雲里6鄰21號, 03 3822607,121.3839299,24.816666
 長興派出所, Changxing Police Station, 桃園市復興區長興里16鄰頭角29號, 03 3822961,121.3071505,24.7996404
 溪內派出所, Xinei Police Station, 桃園市復興區羅浮里河流2鄰51之2號, 03 3822958,121.3680437,24.8034094
 三元派出所, Sanyuan Police Station, 桃園市大溪區石園路53號, 03 3801040,121.2652707,24.8807248
 圳頂派出所, Zunding Police Station, 桃園市大溪區公園路46號, 03 3801287,121.283791,24.9048559
 內柵派出所, Neizha Police Station, 桃園市大溪區內柵路1段56號, 03 3883849,121.2812329,24.8593448
 中新派出所, Zhongxin Police Station, 桃園市大溪區大鶯路1479號, 03 3801853,121.3183889,24.9301409
 百吉派出所, Baiji Police Station, 桃園市大溪區復興路2段209號, 03 3885884,121.3092506,24.8251006
 三民派出所, Sanmin Police Station, 桃園市復興區三民里水流東路43號, 03 3825605,121.3310843,24.8321426
 三層派出所, Sanceng Police Station, 桃園市大溪區復興路一段385號, 03 3882349,121.295029,24.8578485
 永福派出所, Yongfu Police Station, 桃園市大溪區信義路1127號, 03 3885802,121.324083,24.8942399
 南雅派出所, Nanya Police Station, 桃園市大溪區康莊路181號, 03 3883720,121.288612,24.8796775
 福安派出所, Fuan Police Station, 桃園市大溪區復興路一段890號, 03 3888767,121.2865028,24.8491756
 中壢分局, Zhongli Precinct, 桃園市中壢區延平路607號, 03 4221460,121.2223525,24.9541224
 文化派出所, Wenhua Police Station, 桃園市中壢區吉林路60號, 03 4528348,121.2452712,24.9790503
 仁愛派出所, Ren-ai Police Station, 桃園市中壢區功學路112號, 03 4563524,121.255892,24.954945
 興國派出所, Xing-guo Police Station, 桃園市中壢區志廣路38號, 03 4258325,121.20873,24.96036
 龍興派出所, Longxing Police Station, 桃園市中壢區龍勇路139號, 03 4285776,121.2344039,24.9384239
 大崙派出所, Dalun Police Station, 桃園市中壢區崇德路137號, 03 4982260,121.1821021,24.9895794
 中福派出所, Zhongfu Police Station, 桃園市中壢區南園二路86號, 03 4523093,121.2334572,24.9718093
 內壢派出所, Neili Police Station, 桃園市中壢區中華路1段364號, 03 4553845,121.2556332,24.972119
 普仁派出所, Puren Police Station, 桃園市中壢區中山東路2段361號, 03 4562912,121.2386621,24.9540583
 中壢派出所, Zhongli Police Station, 桃園市中壢區延平路607號, 03 4562912,121.2223525,24.9541224
 自強派出所, Ziqiang Police Station, 桃園市中壢區強國路68號, 03 2854333,121.257999,24.967865
 青埔派出所, Qingpu Police Station, 桃園市中壢區青埔路1段67號, 03 4531356,121.2105349,25.0138935
 楊梅分局, Yangmei Precinct, 桃園市楊梅區中山路123號, 03 4755749,121.145824,24.9068013
 頭洲派出所, TouJhou Police Station, 桃園市新屋區中山東路二段757號, 03 4909508,121.14625,24.9633067
 幼獅派出所, Youshi Police Station, 桃園市楊梅區幼獅路1段458號, 03 4643521,121.1744487,24.9255611
 上湖派出所, Shanghu Police Station, 桃園市楊梅區楊湖路3段239號, 03 4727925,121.0948147,24.912721
 新屋分駐所, Xinwu Police Station, 桃園市新屋區中山路241號, 03 4772014,121.1064891,24.9724687
 永安派出所, Yong-an Police Station, 桃園市新屋區中山西路3段62號, 03 4861092,121.0448349,24.9875375
 大坡派出所, Dapo Police Station, 桃園市新屋區東福路一段918號, 03 4768410,121.038667,24.959214
 富岡派出所, Fugang Police Station, 桃園市楊梅區富源街22號, 03 4721794,121.0819093,24.9355439
 草湳派出所, Caonan Police Station, 桃園市楊梅區永美路237號, 03 4826278,121.1835661,24.9189
 楊梅派出所, Yangmei Police Station, 桃園市楊梅區中山路123號, 03 4782007,121.1459165,24.9068269
 平鎮分局, Pingahen Precinct, 桃園市平鎮區中庸路123號, 03 4390218,121.2075109,24.9131511
 北勢派出所, Beishi Police Station, 桃園市平鎮區振平街228號, 03 4282206,121.22089,24.9419408
 宋屋派出所, Songwu Police Station, 桃園市平鎮區延平路2段412號, 03 4938381,121.2062592,24.9426132
 平鎮派出所, Pingzhen Police Station, 桃園市平鎮區中庸路123號, 03 4391280,121.2075109,24.9131511
 建安派出所, Jian-an Police Station, 桃園市平鎮區金陵路5段108號, 03 4502331,121.2311813,24.909153
 龍岡派出所, Long-gang Police Station, 桃園市平鎮區龍南路141號, 03 4503245,121.2473221,24.9238781
 龜山分局, Guishan Precinct, 桃園市龜山區自強南路123號, 03 3292701,121.3377452,24.9932483
 龜山派出所, Guishan Police Station, 桃園市龜山區萬壽路2段931號, 03 3202554,121.3386469,24.9952636
 大林派出所, Dalin Police Station, 桃園市龜山區中興路158號, 03 3500070,121.3322449,24.9890196
 大坑派出所, Dakeng Police Station, 桃園市龜山區大坑路一段851號, 03 3251310,121.31464,25.0453057
 大埔派出所, Dapu Police Station, 桃園市龜山區文德二路80號, 03 3186447,121.3816201,25.0533717
 迴龍派出所, Huilong Police Station, 桃園市龜山區萬壽路1段117號, 02 82006815,121.4086217,25.0188104
 大華派出所, Dahua Police Station, 桃園市龜山區文化七路135號, 03 3975557,121.3652284,25.0517338
 坪頂派出所, Pingding Police Station, 桃園市龜山區大崗里大湖一路65號, 03 3282570,121.356967,25.0555205
 八德分局, Bade Precinct, 桃園市八德區興豐路1216號, 03 3731907,121.3086214,24.9382949
 八德派出所, Bade Police Station, 桃園市八德區興豐路1216號, 03 3682802,121.3086214,24.9382949
 廣興派出所, Guangxing Police Station, 桃園市八德區廣興路829號, 03 3775124,121.2838266,24.9501101
 四維派出所, Siwei Police Station, 桃園市八德區重慶街148號, 03 3662771,121.3027551,24.9559603
 高明派出所, Gaoming Police Station, 桃園市八德區永豐路160號, 03 3771790,121.2787061,24.9647974
 大安派出所, Da-an Police Station, 桃園市八德區和平路頂橋巷25號, 03 3644106,121.3248208,24.970419
 龍潭分局, Longtan Precinct, 桃園市龍潭區干城路21號, 03 4890831,121.2076131,24.8686221
 三和派出所, Sanhe Police Station, 桃園市龍潭區龍新路三和段1050號, 03 4794384,121.1750467,24.8504029
 高平派出所, Gaoping Police Station, 桃園市龍潭區中豐路高平段281號, 03 4717204,121.2069125,24.8358128
 石門派出所, Shimen Police Station, 桃園市龍潭區文化路230號, 03 4712021,121.2413061,24.842766
 中興派出所, Zhongxing Police Station, 桃園市龍潭區武漢路45號, 03 4797497,121.2343375,24.8726634
 龍潭派出所, Longtan Police Station, 桃園市龍潭區中山里大昌路1段277號, 03 4792002,121.2203651,24.8701615
 聖亭派出所, Shengting Police Station, 桃園市龍潭區干城路21號, 03 4891110,121.20766,24.8686099
 桃園市政府警察局, Taoyuan Police Department, 桃園市桃園區縣府路3號, 03 3334400,121.3019076,24.9930441
 警政大樓, Taoyuan City Police Administration Building, 桃園市桃園區縣府路51號, 03 3325368,121.2997995,24.9933622
 中壢交通中隊, Zhongli Branch, 桃園市中壢區中豐路88號, 03 4269225,121.219732,24.9625478
 平鎮交通分隊, Pingahen Branch, 桃園市平鎮區振平街228號2樓, 03 4686232,121.22089,24.9419408
 龍潭交通分隊, Longtan Branch, 桃園市龍潭區大昌路一段277號2樓, 03 4804165,121.2203651,24.8701615
 楊梅交通分隊, Yangmei Branch, 桃園市楊梅區福德街155號, 03 4829383,121.1867978,24.9166305
 大園交通分隊, Dayuan Branch, 桃園市大園區園三街180號, 03 3837135,121.1789345,25.0574917
 蘆竹交通分隊, Luzhu Branch, 桃園市蘆竹區南山路二段394巷67號, 03 2129924,121.2875518,25.071736
 龜山交通分隊, Guishan Branch, 桃園市龜山區萬壽路2段933號, 03 3208113,121.3385542,24.9954964
 八德交通分隊, Bade Branch, 桃園市八德區興豐路1216號, 03 3732780,121.3086214,24.9382949
 大溪交通分隊, Daxi Branch, 桃園市大溪區員林路一段198號, 03 3072240,1121.277736,24.8962411
 桃園警察大隊, Taoyuan Branch, 桃園市桃園區經國路799號2樓, 03 3552325,121.300713,25.02792
 交通警察大隊, Traffic Police Corps, 桃園市桃園區縣府路51號1樓, 03 3325368,121.2997995,24.9933622
